"subjID" "choice" "RT" "altrep" "condition" "area"
"sub01" 2 0.8841 "2" "S" "AC"
"sub01" 2 0.4837 "2" "S" "AC"
"sub01" 2 1.637 "2" "S" "AC"
"sub01" 2 1.0765 "2" "S" "AC"
"sub01" 2 0.7932 "2" "S" "AC"
"sub01" 2 1.0035 "2" "S" "AC"
"sub01" 2 1.6963 "2" "S" "AC"
"sub01" 2 1.0609 "2" "S" "AC"
"sub01" 2 0.7917 "2" "S" "AC"
"sub01" 2 0.9035 "1" "S" "AC"
"sub01" 2 0.7086 "2" "S" "AC"
"sub01" 2 0.6433 "1" "S" "AC"
"sub01" 2 0.7286 "1" "S" "AC"
"sub01" 2 0.4996 "2" "S" "AC"
"sub01" 2 0.9716 "1" "S" "AC"
"sub01" 2 0.8509 "2" "S" "AC"
"sub01" 2 1.0122 "2" "S" "AC"
"sub01" 2 0.9234 "2" "S" "AC"
"sub01" 2 1.1409 "1" "S" "AC"
"sub01" 2 1.0081 "2" "S" "AC"
"sub01" 2 1.0087 "2" "S" "AC"
"sub01" 2 1.2808 "1" "S" "AC"
"sub01" 2 0.8574 "2" "S" "AC"
"sub01" 2 1.4391 "1" "S" "AC"
"sub01" 2 1.0019 "2" "S" "AC"
"sub01" 2 1.0025 "1" "S" "AC"
"sub01" 2 0.6784 "2" "S" "AC"
"sub01" 2 0.8454 "2" "S" "AC"
"sub01" 2 1.4961 "1" "S" "AC"
"sub01" 2 1.1062 "2" "S" "AC"
"sub01" 2 1.2919 "2" "S" "AC"
"sub01" 2 0.8783 "2" "S" "AC"
"sub01" 2 1.2401 "2" "S" "AC"
"sub01" 2 0.4324 "2" "S" "AC"
"sub01" 2 0.634 "2" "S" "AC"
"sub01" 2 0.9903 "1" "S" "AC"
"sub01" 2 0.6269 "1" "S" "AC"
"sub01" 2 0.9096 "2" "S" "AC"
"sub01" 2 0.5069 "2" "S" "AC"
"sub01" 2 1.4248 "2" "S" "AC"
"sub01" 2 0.9209 "2" "S" "AC"
"sub01" 2 0.6447 "2" "S" "AC"
"sub01" 2 0.8301 "2" "S" "AC"
"sub01" 2 0.5526 "2" "S" "AC"
"sub01" 2 1.0219 "2" "S" "AC"
"sub01" 2 1.5855 "1" "S" "AC"
"sub01" 2 1.7481 "2" "S" "AC"
"sub01" 2 1.1487 "2" "S" "AC"
"sub01" 2 0.7462 "2" "S" "AC"
"sub01" 2 0.945 "2" "S" "AC"
"sub01" 2 0.9032 "2" "S" "AC"
"sub01" 2 0.728 "2" "S" "AC"
"sub01" 1 0.8259 "2" "S" "AC"
"sub01" 2 0.7227 "2" "S" "AC"
"sub01" 2 0.593 "1" "S" "AC"
"sub01" 2 0.454 "2" "S" "AC"
"sub01" 2 0.7583 "1" "S" "AC"
"sub01" 2 1.2746 "1" "S" "AC"
"sub01" 2 0.4573 "2" "S" "AC"
"sub01" 2 1.0338 "2" "S" "AC"
"sub01" 2 0.6251 "2" "S" "AC"
"sub01" 2 0.6499 "1" "S" "AC"
"sub01" 2 1.1937 "2" "S" "AC"
"sub01" 2 0.9781 "2" "S" "AC"
"sub01" 2 1.3069 "2" "S" "AC"
"sub01" 2 1.563 "2" "S" "AC"
"sub01" 2 1.3442 "2" "S" "AC"
"sub01" 2 0.705 "1" "S" "AC"
"sub01" 2 0.9498 "2" "S" "AC"
"sub01" 2 0.988 "2" "S" "AC"
"sub01" 2 0.7802 "2" "S" "AC"
"sub01" 2 1.4221 "2" "S" "AC"
"sub01" 2 0.5757 "2" "S" "AC"
"sub01" 2 0.5291 "1" "S" "AC"
"sub01" 2 0.6565 "1" "S" "AC"
"sub01" 2 0.6401 "1" "S" "AC"
"sub01" 2 0.955 "2" "S" "AC"
"sub01" 2 0.6925 "2" "S" "AC"
"sub01" 2 0.711 "1" "S" "AC"
"sub01" 2 0.9213 "2" "S" "AC"
"sub01" 2 1.3332 "1" "S" "AC"
"sub01" 2 1.1774 "2" "S" "AC"
"sub01" 2 1.272 "1" "S" "AC"
"sub01" 2 1.0086 "2" "S" "AC"
"sub01" 2 0.7879 "2" "S" "AC"
"sub01" 2 0.7575 "2" "S" "AC"
"sub01" 2 1.5157 "1" "S" "AC"
"sub01" 2 0.8795 "2" "S" "AC"
"sub01" 2 1.2716 "1" "S" "AC"
"sub01" 2 1.2846 "2" "S" "AC"
"sub01" 2 0.6802 "2" "S" "AC"
"sub01" 2 0.9986 "2" "S" "AC"
"sub01" 2 1.062 "2" "S" "AC"
"sub01" 2 0.6262 "1" "S" "AC"
"sub01" 2 0.4647 "2" "S" "AC"
"sub01" 2 0.4433 "2" "S" "AC"
"sub01" 2 1.0608 "2" "S" "AC"
"sub01" 2 0.7106 "1" "S" "AC"
"sub01" 2 0.5168 "2" "S" "AC"
"sub01" 2 0.7542 "1" "S" "AC"
"sub01" 2 0.7055 "2" "S" "AC"
"sub01" 2 1.1375 "2" "S" "AC"
"sub01" 2 0.5661 "2" "S" "AC"
"sub01" 2 1.5607 "2" "S" "AC"
"sub01" 2 0.7742 "2" "S" "AC"
"sub01" 2 0.5432 "1" "S" "AC"
"sub01" 2 0.7875 "2" "S" "AC"
"sub01" 2 0.7539 "2" "S" "AC"
"sub01" 2 0.6131 "2" "S" "AC"
"sub01" 2 0.5105 "2" "S" "AC"
"sub01" 2 0.6532 "1" "S" "AC"
"sub01" 2 1.0979 "2" "S" "AC"
"sub01" 2 0.5818 "2" "S" "AC"
"sub01" 2 1.2702 "2" "S" "AC"
"sub01" 2 0.6412 "1" "S" "AC"
"sub01" 2 0.9197 "2" "S" "AC"
"sub02" 2 0.8871 "2" "S" "AC"
"sub02" 2 0.8475 "1" "S" "AC"
"sub02" 2 1.6631 "2" "S" "AC"
"sub02" 2 1.0511 "2" "S" "AC"
"sub02" 2 1.0144 "2" "S" "AC"
"sub02" 2 0.7319 "1" "S" "AC"
"sub02" 2 0.6902 "1" "S" "AC"
"sub02" 2 0.5663 "2" "S" "AC"
"sub02" 2 1.3012 "2" "S" "AC"
"sub02" 2 0.5667 "2" "S" "AC"
"sub02" 2 0.7801 "2" "S" "AC"
"sub02" 2 0.5086 "2" "S" "AC"
"sub02" 2 0.7952 "2" "S" "AC"
"sub02" 2 0.7096 "1" "S" "AC"
"sub02" 2 1.0529 "2" "S" "AC"
"sub02" 2 0.9515 "2" "S" "AC"
"sub02" 2 0.8362 "2" "S" "AC"
"sub02" 2 0.9922 "1" "S" "AC"
"sub02" 2 0.7623 "2" "S" "AC"
"sub02" 2 0.9683 "1" "S" "AC"
"sub02" 2 0.9416 "1" "S" "AC"
"sub02" 2 0.9052 "1" "S" "AC"
"sub02" 1 0.7643 "2" "S" "AC"
"sub02" 2 1.2427 "2" "S" "AC"
"sub02" 2 1.1969 "1" "S" "AC"
"sub02" 2 1.2306 "2" "S" "AC"
"sub02" 2 0.8474 "2" "S" "AC"
"sub02" 2 0.678 "1" "S" "AC"
"sub02" 2 0.6466 "2" "S" "AC"
"sub02" 2 1.2275 "2" "S" "AC"
"sub02" 2 0.7251 "2" "S" "AC"
"sub02" 2 0.8026 "1" "S" "AC"
"sub02" 2 0.9159 "1" "S" "AC"
"sub02" 2 0.7168 "1" "S" "AC"
"sub02" 2 0.5473 "2" "S" "AC"
"sub02" 2 1.2559 "2" "S" "AC"
"sub02" 1 1.0652 "2" "S" "AC"
"sub02" 2 0.8092 "1" "S" "AC"
"sub02" 2 0.5023 "1" "S" "AC"
"sub02" 2 1.3666 "2" "S" "AC"
"sub02" 2 0.8678 "1" "S" "AC"
"sub02" 2 1.7392 "2" "S" "AC"
"sub02" 2 1.4004 "2" "S" "AC"
"sub02" 2 1.0474 "2" "S" "AC"
"sub02" 2 1.0772 "1" "S" "AC"
"sub02" 2 0.5976 "1" "S" "AC"
"sub02" 2 0.5756 "1" "S" "AC"
"sub02" 2 0.7385 "1" "S" "AC"
"sub02" 2 1.13 "2" "S" "AC"
"sub02" 2 0.4931 "1" "S" "AC"
"sub02" 2 0.5476 "2" "S" "AC"
"sub02" 2 0.8472 "2" "S" "AC"
"sub02" 2 0.6473 "1" "S" "AC"
"sub02" 2 0.7165 "1" "S" "AC"
"sub02" 2 1.2535 "1" "S" "AC"
"sub02" 2 1.4183 "2" "S" "AC"
"sub02" 2 1.7085 "1" "S" "AC"
"sub02" 2 0.839 "2" "S" "AC"
"sub02" 2 1.41 "2" "S" "AC"
"sub02" 2 1.6131 "1" "S" "AC"
"sub02" 2 0.5034 "1" "S" "AC"
"sub02" 2 1.5389 "2" "S" "AC"
"sub02" 2 1.2228 "1" "S" "AC"
"sub02" 2 1.3792 "2" "S" "AC"
"sub02" 2 0.8394 "1" "S" "AC"
"sub02" 2 0.9392 "2" "S" "AC"
"sub02" 2 1.041 "2" "S" "AC"
"sub02" 2 0.5903 "1" "S" "AC"
"sub02" 2 1.6004 "1" "S" "AC"
"sub02" 2 1.4319 "1" "S" "AC"
"sub02" 2 1.0544 "2" "S" "AC"
"sub02" 2 0.787 "1" "S" "AC"
"sub02" 2 1.0589 "1" "S" "AC"
"sub02" 2 1.1383 "1" "S" "AC"
"sub02" 2 0.7103 "1" "S" "AC"
"sub02" 2 0.9258 "2" "S" "AC"
"sub02" 2 0.7289 "1" "S" "AC"
"sub02" 2 0.5809 "1" "S" "AC"
"sub02" 2 0.8055 "1" "S" "AC"
"sub02" 2 0.7297 "2" "S" "AC"
"sub02" 2 0.5817 "2" "S" "AC"
"sub02" 1 0.9432 "2" "S" "AC"
"sub02" 2 0.6356 "1" "S" "AC"
"sub02" 2 0.777 "2" "S" "AC"
"sub02" 2 1.8786 "1" "S" "AC"
"sub02" 2 0.7964 "1" "S" "AC"
"sub02" 2 1.8187 "2" "S" "AC"
"sub02" 2 0.7062 "2" "S" "AC"
"sub02" 2 1.6383 "1" "S" "AC"
"sub02" 2 1.0074 "2" "S" "AC"
"sub02" 2 0.9111 "1" "S" "AC"
"sub02" 2 1.0586 "1" "S" "AC"
"sub02" 2 0.6309 "1" "S" "AC"
"sub02" 2 1.431 "2" "S" "AC"
"sub02" 2 0.9079 "1" "S" "AC"
"sub02" 2 0.6594 "2" "S" "AC"
"sub02" 2 0.4485 "1" "S" "AC"
"sub02" 2 0.4756 "1" "S" "AC"
"sub02" 2 0.4625 "1" "S" "AC"
"sub02" 2 0.8784 "2" "S" "AC"
"sub02" 2 0.5688 "2" "S" "AC"
"sub02" 2 0.8761 "2" "S" "AC"
"sub02" 2 0.5782 "2" "S" "AC"
"sub02" 2 0.5742 "1" "S" "AC"
"sub02" 2 0.8415 "1" "S" "AC"
"sub02" 2 0.8009 "2" "S" "AC"
"sub02" 2 1.2326 "1" "S" "AC"
"sub02" 2 0.7709 "1" "S" "AC"
"sub02" 2 0.5522 "1" "S" "AC"
"sub02" 2 0.6015 "2" "S" "AC"
"sub02" 1 1.1364 "1" "S" "AC"
"sub02" 2 1.0779 "2" "S" "AC"
"sub02" 2 1.24 "2" "S" "AC"
"sub02" 2 1.3003 "2" "S" "AC"
"sub02" 2 0.9902 "2" "S" "AC"
"sub02" 2 0.7732 "1" "S" "AC"
"sub02" 2 1.1233 "1" "S" "AC"
"sub02" 2 1.0594 "1" "S" "AC"
"sub02" 2 0.5076 "1" "S" "AC"
"sub02" 2 0.9124 "1" "S" "AC"
"sub02" 2 0.9561 "2" "S" "AC"
"sub02" 2 0.7834 "2" "S" "AC"
"sub02" 2 0.6009 "2" "S" "AC"
"sub02" 2 0.7234 "1" "S" "AC"
"sub02" 2 0.671 "1" "S" "AC"
"sub02" 2 0.8405 "1" "S" "AC"
"sub02" 2 0.6128 "1" "S" "AC"
"sub02" 2 0.7022 "2" "S" "AC"
"sub02" 2 0.5654 "1" "S" "AC"
"sub02" 2 0.7068 "1" "S" "AC"
"sub02" 2 0.6406 "1" "S" "AC"
"sub02" 2 1.6778 "1" "S" "AC"
"sub02" 2 0.4527 "2" "S" "AC"
"sub02" 2 0.5785 "1" "S" "AC"
"sub02" 1 1.7791 "1" "S" "AC"
"sub02" 2 0.5845 "1" "S" "AC"
"sub02" 2 0.6821 "2" "S" "AC"
"sub02" 2 0.7493 "2" "S" "AC"
"sub02" 2 0.605 "1" "S" "AC"
"sub02" 2 0.5684 "1" "S" "AC"
"sub02" 2 1.0878 "1" "S" "AC"
"sub02" 2 0.7994 "1" "S" "AC"
"sub02" 2 0.7372 "2" "S" "AC"
"sub02" 2 0.4332 "1" "S" "AC"
"sub02" 2 0.6801 "1" "S" "AC"
"sub02" 2 0.9593 "1" "S" "AC"
"sub02" 2 0.9809 "2" "S" "AC"
"sub02" 2 0.6599 "2" "S" "AC"
"sub02" 2 0.7549 "2" "S" "AC"
"sub02" 2 0.6748 "1" "S" "AC"
